Company Name,Scrip Code
coromandel international ltd.,506395
corporate couriers & cargo ltd.,526737
corporate merchant bankers ltd.,540199
cosboard industries ltd.,530859
cosco (india) ltd.,530545
cosmic crf ltd.,543928
cosmo ferrites ltd.,523100
cosmo first ltd.,508814
cospower engineering ltd.,543172
cosyn ltd.,538922
country club hospitality & holidays ltd.,526550
country condo's ltd.,531624
covance softsol ltd.,544361
coventry coil-o-matic (haryana) ltd.,523415
covidh technologies ltd.,534920
cox & kings financial services ltd.,542641
cp capital ltd.,533260
craftsman automation ltd.,543276
crane infrastructure ltd.,538770
cranes software international ltd.,512093
cranex ltd.,522001
cravatex ltd.,509472
creative castings ltd.,539527
creative eye ltd.,532392
credence sound & vision ltd.,526741
credent global finance ltd.,539598
creditaccess grameen ltd.,541770
credo brands marketing ltd.,544058
cressanda railway solutions ltd.,512379
crest ventures ltd.,511413
crestchem ltd.,526269
crimson metal engineering company ltd.,526977
crisil ltd.,500092
crizac ltd.,544439
croissance ltd.,531909
crompton greaves consumer electricals ltd.,539876
cropster agro ltd.,523105
crp risk management ltd.,540903
cryogenic ogs ltd.,544440
crysdale industries ltd.,502473
crystal business system ltd.,540821
csb bank ltd.,542867
csl finance ltd.,530067
cubex tubings ltd.,526027
cummins india ltd.,500480
cupid breweries & distilleries ltd.,512361
cupid ltd.,530843
cura technologies ltd.,532332
cwd ltd.,543378
cybele industries ltd.,531472
cyber media (india) ltd.,532640
cybertech systems & software ltd.,532173
cyient dlm ltd.,543933
cyient ltd.,532175
d & h india ltd.,517514
d p abhushan ltd.,544161
d p wires ltd.,543962
d-link (india) ltd.,533146
dabur india ltd.,500096
dai ichi karkaria ltd.,526821
daikaffil chemicals india ltd.,530825
dalal street investments ltd.,501148
dalmia bharat ltd.,542216
dalmia bharat sugar and industries ltd.,500097
dalmia industrial development ltd.,539900
dam capital advisors ltd.,544316
damodar industries ltd.,521220
danlaw technologies india ltd.,532329
danube industries ltd.,540361
daps advertising ltd.,543651
darjeeling ropeway company ltd.,539770
darshan orna ltd.,539884
data patterns (india) ltd.,543428
datamatics global services ltd.,532528
datiware maritime infra ltd.,519413
daulat securities ltd.,530171
davangere sugar company ltd.,543267
davin sons retail ltd.,544331
dazzel confindive ltd.,531270
db (international) stock brokers ltd.,530393
db corp ltd.,533151
dc infotech and communication ltd.,543636
dcb bank ltd.,532772
dcm financial services ltd.,511611
dcm ltd.,502820
dcm nouvelle ltd.,542729
dcm shriram industries ltd.,523369
dcm shriram ltd.,523367
dcw ltd.,500117
dcx systems ltd.,543650
ddev plastiks industries ltd.,543547
de nora india ltd.,590031
deccan bearings ltd.,505703
deccan cements ltd.,502137
deccan gold mines ltd.,512068
deccan health care ltd.,542248
deccan polypacks ltd.,531989
decillion finance ltd.,539190
decipher labs ltd.,524752
deco-mica ltd.,531227
decorous investment & trading co. ltd.,539405
dee development engineers ltd.,544198
deep diamond india ltd.,539559
deep energy resources ltd.,532760
deep industries ltd.,543288
deep polymers ltd.,541778
deepak builders & engineers india ltd.,544276
deepak chemtex ltd.,544036
deepak fertilisers & petrochemicals corporation ltd.,500645
deepak nitrite ltd.,506401
deepak spinners ltd.,514030
delhivery ltd.,543529
delphi world money ltd.,533452
delta corp ltd.,532848
delta industrial resources ltd.,539596
delta manufacturing ltd.,504286
delton cables ltd.,504240
deltron ltd.,504256
den networks ltd.,533137
denis chem lab ltd.,537536
denta water and infra solutions ltd.,544345
desco infratech ltd.,544387
desh rakshak aushdhalaya ltd.,531521
dev accelerator ltd.,544513
dev information technology ltd.,543462
dev labtech venture ltd.,543848
devhari exports (india) ltd.,539197
devine impex ltd.,531585
devoted construction ltd.,542002
devyani international ltd.,543330
dhabriya polywood ltd.,538715
dhampur bio organics ltd.,543593
dhampur sugar mills ltd.,500119
dhampure specialty sugars ltd.,531923
dhanada corporation ltd.,531198
dhanalaxmi roto spinners ltd.,521216
dhani services ltd.,532960
dhanlaxmi bank ltd.,532180
dhanlaxmi cotex ltd.,512485
dhanlaxmi fabrics ltd.,521151
dhanleela investments & trading company ltd.,503637
dhansafal finserve ltd.,512048
dhanuka agritech ltd.,507717
dhanvantri jeevan rekha ltd.,531043
dharan infra-epc ltd.,541161
dharani finance ltd.,511451
dharani sugars & chemicals ltd.,507442
dharmaj crop guard ltd.,543687
dharni capital services ltd.,543753
dhatre udyog ltd.,540080
dhenu buildcon infra ltd.,501945
dhoot industrial finance ltd.,526971
dhp india ltd.,531306
dhruv consultancy services ltd.,541302
dhruv wellness ltd.,540695
dhruva capital services ltd.,531237
dhunseri investments ltd.,533336
dhunseri tea & industries ltd.,538902
dhunseri ventures ltd.,523736
dhyaani tradeventures ltd.,543516
diamant infrastructure ltd.,508860
diamines & chemicals ltd.,500120
diamond power infrastructure ltd.,522163
diana tea company ltd.,530959
dic india ltd.,500089
diffusion engineers ltd.,544264
diggi multitrade ltd.,540811
digicontent ltd.,542685
digidrive distributors ltd.,544079
digispice technologies ltd.,517214
digitide solutions ltd.,544413
digjam ltd.,539979
diksat transworld ltd.,540151
diksha greens ltd.,542155
diligent industries ltd.,531153
diligent media corporation ltd.,540789
dilip buildcon ltd.,540047
dindigul farm products ltd.,544201
dion global solutions ltd.,526927
dipna pharmachem ltd.,543594
disa india ltd.,500068
dish tv india ltd.,532839
disha resources ltd.,531553
dishman carbogen amcis ltd.,540701
divgi torqtransfer systems ltd.,543812
divi's laboratories ltd.,532488
divinus fabrics ltd.,538432
divyashakti ltd.,526315
dixon technologies (india) ltd.,540699
dj mediaprint & logistics ltd.,543193
djs stock & shares ltd.,511636
dlf ltd.,532868
dmcc speciality chemicals ltd.,506405
dmr hydroengineering & infrastructure ltd.,543410
dodla dairy ltd.,543306
dolat algotech ltd.,505526
dolfin rubbers ltd.,542013
dollar industries ltd.,541403
dolphin medical services ltd.,526504
dolphin offshore enterprises (india) ltd.,522261
doms industries ltd.,544045
donear industries ltd.,512519
dot com global ltd.,530391
dq entertainment (international) ltd.,533176
dr. agarwal's eye hospital ltd.,526783
dr. agarwals health care ltd.,544350
dr. datsons labs ltd.,533412
dr. lal pathlabs ltd.,539524
dr. lalchandani labs ltd.,541299
dr. reddy's laboratories ltd.,500124
dra consultants ltd.,540144
drc systems india ltd.,543268
dreamfolks services ltd.,543591
dredging corporation of india ltd.,523618
droneacharya aerial innovations ltd.,543713
ds kulkarni developers ltd.,523890
dsj keep learning ltd.,526677
ducon infratechnologies ltd.,534674
dugar housing developments ltd.,511634
duke offshore ltd.,531471
duncan engineering ltd.,504908
duropack ltd.,526355
duroply industries ltd.,516003
dutron polymers ltd.,517437
dwarikesh sugar industries ltd.,532610
dwitiya trading ltd.,538608
dynacons systems & solutions ltd.,532365
dynamatic technologies ltd.,505242
dynamic archistructures ltd.,539681
dynamic cables ltd.,540795
dynamic industries ltd.,524818
dynamic microsteppers ltd.,531330
dynamic portfolio management & services ltd.,530779
dynavision ltd.,517238
dynemic products ltd.,532707
e-land apparel ltd.,532820
earthstahl & alloys ltd.,543765
east buildtech ltd.,507917
east india drums and barrels manufacturing ltd.,523874
east west freight carriers ltd.,540006
eastcoast steel ltd.,520081
eastern silk industries ltd.,590022
eastern treads ltd.,531346
easun capital markets ltd.,542906
easun reyrolle ltd.,532751
easy fincorp ltd.,511074
easy trip planners ltd.,543272
eclerx services ltd.,532927
eco friendly food processing park ltd.,534839
eco hotels and resorts ltd.,514402
eco recycling ltd.,530643
ecoboard industries ltd.,523732
ecofinity atomix ltd.,539455
econo trade (india) ltd.,538708
ecoplast ltd.,526703
ecos (india) mobility & hospitality ltd.,544239
ecs biztech ltd.,540063
ed & tech international ltd.,590038
edelweiss financial services ltd.,532922
educomp solutions ltd.,532696
edvenswa enterprises ltd.,517170
edynamics solutions ltd.,535694
efc (i) ltd.,512008
eicher motors ltd.,505200
eid parry (india) ltd.,500125
eighty jewellers ltd.,543518
eih associated hotels ltd.,523127
eih ltd.,500840
eiko lifesciences ltd.,540204
eimco elecon (india) ltd.,523708
ekam leasing & finance company ltd.,530581
ekansh concepts ltd.,531364
ekennis software service ltd.,543475
eki energy services ltd.,543284
el forge ltd.,531144
elango industries ltd.,513452
elantas beck india ltd.,500123
elcid investments ltd.,503681
eldeco housing & industries ltd.,523329
elecon engineering company ltd.,505700
electronics mart india ltd.,543626
electrosteel castings ltd.,500128
electrotherm (india) ltd.,526608
elegant floriculture & agrotech (i) ltd.,526473
elegant marbles & grani industries ltd.,526705
elgi equipments ltd.,522074
elin electronics ltd.,543725
elitecon international ltd.,539533
elixir capital ltd.,531278
ellenbarrie industrial gases ltd.,544421
ellora paper mills ltd.,502374
elnet technologies ltd.,517477
elpro international ltd.,504000
ema india ltd.,522027
emami ltd.,531162
emami paper mills ltd.,533208
emami realty ltd.,533218
embassy developments ltd.,532832
emcure pharmaceuticals ltd.,544210
emerald finance ltd.,538882
emerald leisures ltd.,507265
emergent industrial solutions ltd.,506180
emkay global financial services ltd.,532737
emmbi industries ltd.,533161
emmessar biotech & nutrition ltd.,524768
emmforce autotech ltd.,544166
emmsons international ltd.,532038
empee sugars and chemicals ltd.,500132
empire industries ltd.,509525
empower india ltd.,504351
ems ltd.,543983
emudhra ltd.,543533
enbee trade & finance ltd.,512441
encash entertainment ltd.,538684
encode packaging india ltd.,530733
endurance technologies ltd.,540153
energy development company ltd.,532219
energy infrastructure trust,542543
engineers india ltd.,532178
enkei wheels (india) ltd.,533477
ennore coke ltd.,512369
ensa steel industries ltd.,512135
entero healthcare solutions ltd.,544122
enterprise international ltd.,526574
entertainment network (india) ltd.,532700
envair electrodyne ltd.,500246
enviro infra engineers ltd.,544290
ep biocomposites ltd.,543595
epack durables ltd.,544095
epic energy ltd.,530407
epigral ltd.,543332
epl ltd.,500135
epsom properties ltd.,531155
epuja spiritech ltd.,532092
equilateral enterprises ltd.,531262
equippp social impact technologies ltd.,590057
equitas small finance bank ltd.,543243
eraaya lifespaces ltd.,531035
eris lifesciences ltd.,540596
eros international media ltd.,533261
erp soft systems ltd.,530909
esaar (india) ltd.,531502
esab india ltd.,500133
esaf small finance bank ltd.,544020
escorp asset management ltd.,540455
escorts kubota ltd.,500495
esha media research ltd.,531259
eskay kn'it (india) ltd.,514118
espire hospitality ltd.,532016
esquire money guarantees ltd.,512439
essar shipping ltd.,533704
essex marine ltd.,544475
esteem bio organic food processing ltd.,534927
ester industries ltd.,500136
eternal ltd.,543320
ethos ltd.,543532
euphoria infotech (india) ltd.,544094
eureka forbes ltd.,543482
eureka industries ltd.,521137
euro leder fashions ltd.,526468
euro multivision ltd.,533109
euro panel products ltd.,544461
euro pratik sales ltd.,544519
eurotex industries & exports ltd.,521014
evans electric ltd.,542668
eveready industries india ltd.,531508
everest industries ltd.,508906
everest kanto cylinder ltd.,532684
everest organics ltd.,524790
everlon financials ltd.,514358
evexia lifecare ltd.,524444
evoq remedies ltd.,543500
excel castronics ltd.,526735
excel industries ltd.,500650
excel realty n infra ltd.,533090
exdon trading company ltd.,512017
exhicon events media solutions ltd.,543895
exicom tele-systems ltd.,544133
exide industries ltd.,500086
expleo solutions ltd.,533121
explicit finance ltd.,530571
expo engineering and projects ltd.,526614
exxaro tiles ltd.,543327
eyantra ventures ltd.,512099
f mec international financial services ltd.,539552
faalcon concepts ltd.,544164
fabino enterprises ltd.,543444
fabtech technologies cleanrooms ltd.,544332
facor alloys ltd.,532656
fairchem organics ltd.,543252
family care hospitals ltd.,516110
farmax india ltd.,590094
faze three autofab ltd.,532459
faze three ltd.,530079
fcs software solutions ltd.,532666
fdc ltd.,531599
fedbank financial services ltd.,544027
fedders electric and engineering ltd.,500139
fedders holding ltd.,511628
federal bank ltd.,500469
federal-mogul goetze (india) ltd.,505744
fenoplast ltd.,526689
fermenta biotech ltd.,506414
fervent synergies ltd.,533896
fgp ltd.,500142
fiberweb (india) ltd.,507910
fiem industries ltd.,532768
filatex fashions ltd.,532022
filatex india ltd.,526227
filmcity media ltd.,531486
filtra consultants & engineers ltd.,539098
filtron engineers ltd.,531191
fine line circuits ltd.,517264
fine organic industries ltd.,541557
finelistings technologies ltd.,544173
fineotex chemical ltd.,533333
finkurve financial services ltd.,508954
fino payments bank ltd.,543386
finolex cables ltd.,500144
finolex industries ltd.,500940
first custodian fund (india) ltd.,511122
first financial services ltd.,511369
first fintec ltd.,532379
first winner industries ltd.,532996
firstsource solutions ltd.,532809
fischer medical ventures ltd.,524743
five core exim ltd.,530885
five-star business finance ltd.,543663
flair writing industries ltd,544030
flex foods ltd.,523672
flexituff ventures international ltd.,533638
flomic global logistics ltd.,504380
fluidomat ltd.,522017
focus business solution ltd.,543312
focus industrial resources ltd.,534757
focus suites solutions & services ltd.,540945
fone4 communications (india) ltd.,543521
foods & inns ltd.,507552
forbes & company ltd.,502865
forbes precision tools and machine parts ltd.,544186
force motors ltd.,500033
fortis healthcare ltd.,532843
fortis malar hospitals ltd.,523696
fortune international ltd.,530213
foseco india ltd.,500150
foundry fuel products ltd.,513579
fourth generation information systems ltd.,532403
franklin industries ltd.,540190
franklin leasing & finance ltd.,539839
fraser & company ltd.,539032
fratelli vineyards ltd.,541741
fredun pharmaceuticals ltd.,539730
frontier capital ltd.,508980
frontier springs ltd.,522195
frontline corporation ltd.,532042
fruition venture ltd.,538568
fsn e-commerce ventures ltd.,543384
fundviser capital (india) ltd.,530197
funny software ltd.,539169
fusion finance ltd.,543652
futura polyesters ltd.,500720
future consumer ltd.,533400
future enterprises ltd.,523574
future lifestyle fashions ltd.,536507
future market networks ltd.,533296
future retail ltd.,540064
future supply chain solutions ltd.,540798
futuristic securities ltd.,523113
futuristic solutions ltd.,534063
fynx capital ltd.,507962
g g automotive gears ltd.,531399
g g dandekar properties ltd.,505250
g g engineering ltd.,540614
g m breweries ltd.,507488
g m polyplast ltd.,543239
g r infraprojects ltd.,543317
g s auto international ltd.,513059
g v films ltd.,523277
g-tech info-training ltd.,532139
gabriel india ltd.,505714
gabriel pet straps ltd.,544108
gacm technologies ltd.,531723
gaekwar mills ltd.,502850
gagan gases ltd.,524624
gail (india) ltd.,532155
gajanan securities services ltd.,538609
gajra bevel gears ltd.,505711
gala global products ltd.,539228
gala precision engineering ltd.,544244
galactico corporate services ltd.,542802
galada finance ltd.,538881
galada power & telecommunications ltd.,504697
galaxy agrico exports ltd.,531911
galaxy bearings ltd.,526073
galaxy cloud kitchens ltd.,506186
galaxy surfactants ltd.,540935
gallantt ispat ltd.,532726
gallantt ispat ltd.(old),533265
gallops enterprise ltd.,531902
gamco ltd.,540097
gammon india ltd.,509550
gandhar oil refinery (india) ltd.,544029
gandhi special tubes ltd.,513108
ganesh benzoplast ltd.,500153
ganesh consumer products ltd.,544528
ganesh holding ltd.,504397
ganesh housing corporation ltd.,526367
ganesha ecosphere ltd.,514167
ganesha ecoverse ltd.,539041
ganga papers india ltd.,531813
ganga pharmaceuticals ltd.,539680
ganges securities ltd.,540647
gangotri iron & steel company ltd.,530945
gangotri textile ltd.,521176
ganon products ltd.,512443
garbi finvest ltd.,539492
garden reach shipbuilders & engineers ltd.,542011
garg furnace ltd.,530615
garlon polyfab industries ltd.,514306
garment mantra lifestyle ltd.,539216
garnet construction ltd.,526727
garnet international ltd.,512493
garodia chemicals ltd.,530161
garuda construction and engineering ltd.,544271
garware hi-tech films ltd.,500655
garware marine industries ltd.,509563
garware synthetics ltd.,514400
garware technical fibres ltd.,509557
gateway distriparks ltd.,543489
gautam exim ltd.,540613
gautam gems ltd.,540936
gayatri bioorganics ltd.,524564
gayatri highways ltd.,541546
gayatri projects ltd.,532767
gayatri sugars ltd.,532183
gb global ltd.,533204
gb logistics commerce ltd.,544348
gbl industries ltd.,539009
gcm capital advisors ltd.,538319
gcm commodity & derivatives ltd.,535917
gcm securities ltd.,535431
gconnect logitech and supply chain ltd.,544156
gdl leasing & finance ltd.,530855
ge power india ltd.,532309
ge vernova t&d india ltd.,522275
gee ltd.,504028
geecee ventures ltd.,532764
geetanjali credit and capital ltd.,539486
gem aromatics ltd.,544491
gem enviro management ltd.,544199
gem spinners india ltd.,521133
gemstone investments ltd.,531137
genera agri corp ltd.,541999
general insurance corporation of india,540755
generic engineering construction and projects ltd.,539407
genesis ibrc india ltd.,514336
genesys international corporation ltd.,506109
gennex laboratories ltd.,531739
genomic valley biotech ltd.,539206
genpharmasec ltd.,531592
gensol engineering ltd.,542851
genus commu-trade ltd.,531939
genus paper & boards ltd.,538961
genus power infrastructures ltd.,530343
genus prime infra ltd.,532425
geojit financial services ltd.,532285
getalong enterprises ltd.,543372
gfl ltd.,500173
ghcl ltd.,500171
ghcl textiles ltd.,543918
ghushine fintrrade ocean ltd.,539864
ghv infra projects ltd.,505504
gian life care ltd.,542918
gic housing finance ltd.,511676
gilada finance & investments ltd.,538788
gillanders arbuthnot & company ltd.,532716
gillette india ltd.,507815
gini silk mills ltd.,531744
ginni filaments ltd.,590025
girnar spintex industries ltd.,521076
gita renewable energy ltd.,539013
gitanjali gems ltd.,532715
gk consultants ltd.,531758
gk energy ltd.,544525
gkb ophthalmics ltd.,533212
gkp printing & packaging ltd.,542666
gkw ltd.,504704
glance finance ltd.,531199
gland pharma ltd.,543245
glaxosmithkline pharmaceuticals ltd.,500660
gleam fabmat ltd.,542477
glen industries ltd.,544444
glenmark pharmaceuticals ltd.,532296
glittek granites ltd.,513528
global capital markets ltd.,530263
global health ltd.,543654
global infratech & finance ltd.,531463
global land masters corporation ltd.,531479
global longlife hospital and research ltd.,543520
global offshore services ltd.,501848
global surfaces ltd.,543829
global vectra helicorp ltd.,532773
globale tessile ltd.,544234
globalspace technologies ltd.,540654
globe civil projects ltd.,544424
globe multi ventures ltd.,540266
globtier infotech ltd.,544494
globus power generation ltd.,526025
globus spirits ltd.,533104
glory films ltd.,532857
gloster ltd.,542351
gmm pfaudler ltd.,505255
gmr airports ltd.,532754
gmr power and urban infra ltd.,543490
gna axles ltd.,540124
gng electronics ltd.,544455
go digit general insurance ltd.,544179
go fashion (india) ltd.,543401
goa carbon ltd.,509567
goblin india ltd.,542850
gocl corporation ltd.,506480
godavari biorefineries ltd.,544279
godavari drugs ltd.,530317
godawari power & ispat ltd.,532734
godfrey phillips india ltd.,500163
godrej agrovet ltd.,540743
godrej consumer products ltd.,532424
godrej industries ltd.,500164
godrej properties ltd.,533150
goel construction company ltd.,544504
goel food products ltd.,543538
goenka business & finance ltd.,538787
goenka diamond & jewels ltd.,533189
gogia capital growth ltd.,531600
gokak textiles ltd.,532957
gokaldas exports ltd.,532630
gokul agro resources ltd.,539725
gokul refoils & solvent ltd.,532980
gokul solutions ltd.,780012
gold rock investments ltd.,501111
goldcoin health foods ltd.,538542
golden carpets ltd.,531928
golden crest education & services ltd.,540062
golden legand leasing & finance ltd.,509024
golden tobacco ltd.,500151
goldiam international ltd.,526729
goldline international finvest ltd.,538180
golechha global finance ltd.,531360
golkonda aluminium extrusions ltd.,513309
golkunda diamonds & jewellery ltd.,523676
gontermann peipers (india) ltd.,504701
goodluck india ltd.,530655
goodricke group ltd.,500166
goodyear india ltd.,500168
gopal iron & steels co (gujarat) ltd.,531913
gopal snacks ltd.,544140
gorani industries ltd.,531608
gothi plascon (india) ltd.,531111
gourmet gateway india ltd.,506134
gowra leasing & finance ltd.,530709
goyal aluminiums ltd.,541152
goyal associates ltd.,530663
gp petroleums ltd.,532543
gpt healthcare ltd.,544131
gpt infraprojects ltd.,533761
gracious software ltd.,780002
grand foundry ltd.,513343
grand oak canyons distillery ltd.,523862
grandma trading & agencies ltd.,504369
granules india ltd.,532482
graphite india ltd.,509488
grasim industries ltd.,500300
gratex industries ltd.,526751
grauer & weil (india) ltd.,505710
graviss hospitality ltd.,509546
gravita india ltd.,533282
gravity (india) ltd.,532015
great eastern shipping company ltd.,500620
greaves cotton ltd.,501455
greencrest financial services ltd.,531737
greenearth resources and projects ltd.,533016
greenhitech ventures ltd.,544163
greenlam industries ltd.,538979
greenpanel industries ltd.,542857
greenply industries ltd.,526797
gretex corporate services ltd.,543324
grindwell norton ltd.,506076
grm overseas ltd.,531449
groarc industries india ltd.,532315
grovy india ltd.,539522
growington ventures india ltd.,539222
grp ltd.,509152
gsb finance ltd.,511543
gsl securities ltd.,530469
gss infotech ltd.,532951
gtl infrastructure ltd.,532775
gtl ltd.,500160
gtn industries ltd.,500170
gtn textiles ltd.,532744
gtpl hathway ltd.,540602
gtt data solutions ltd.,530457
gtv engineering ltd.,539479
gufic biosciences ltd.,509079
gujarat alkalies & chemicals ltd.,530001
gujarat ambuja exports ltd.,524226
gujarat apollo industries ltd.,522217
gujarat carbon & industries ltd.,506457
gujarat containers ltd.,513507
gujarat cotex ltd.,514386
gujarat craft industries ltd.,526965
gujarat credit corporation ltd.,511441
gujarat fluorochemicals ltd.,542812
gujarat gas ltd.,539336
gujarat hotels ltd.,507960
gujarat hy-spin ltd.,540938
gujarat industries power company ltd.,517300
gujarat inject (kerala) ltd.,524238
gujarat intrux ltd.,517372
gujarat lease financing ltd.,500174
gujarat meditech ltd.,524754
gujarat metallic coal & coke ltd.,531881
gujarat mineral development corporation ltd.,532181
gujarat narmada valley fertilizers & chemicals ltd.,500670
gujarat natural resources ltd.,513536
gujarat petrosynthese ltd.,506858
gujarat pipavav port ltd.,533248
gujarat poly electronics ltd.,517288
gujarat raffia industries ltd.,523836
gujarat sidhee cement ltd.,518029
gujarat state fertilizer & chemicals ltd.,500690
gujarat state financial corporation,532160
gujarat state petronet ltd.,532702
gujarat terce laboratories ltd.,524314
gujarat themis biosyn ltd.,506879
gujarat toolroom ltd.,513337
gujarat winding systems ltd.,541627
gulf oil lubricants india ltd.,538567
gulshan polyols ltd.,532457
gvk power & infrastructure ltd.,532708
gyan developers & builders ltd.,530141
h p cotton textiles mills ltd.,502873
h s india ltd.,532145
h.m. electro mech ltd.,544349
halder venture ltd.,539854
haldyn glass ltd.,515147
hamps bio ltd.,544312
hampton sky realty ltd.,526407
handson global management (hgm) ltd.,532761
hanman fit ltd.,538731
happiest minds technologies ltd.,543227
happy forgings ltd.,544057
hardcastle & waud manufacturing company ltd.,509597
hardwyn india ltd.,541276
hari govind international ltd.,531971
haria apparels ltd.,538081
haria exports ltd.,512604
harig crankshafts ltd.,500178
hariom pipe industries ltd.,543517
harish textile engineers ltd.,542682
hariyana ship-breakers ltd.,526931
hariyana ventures ltd.,506024
harmony capital services ltd.,530055
harrisons malayalam ltd.,500467
harsha engineers international ltd.,543600
harshdeep hortico ltd.,544105
harshil agrotech ltd.,505336
haryana capfin ltd.,532855
haryana financial corporation,530927
haryana leather chemicals ltd.,524080
has lifestyle ltd.,780014
hasti finance ltd.,531387
hathway bhawani cabletel & datacom ltd.,509073
hathway cable & datacom ltd.,533162
hatsun agro products ltd.,531531
havells india ltd.,517354
hawa engineers ltd.,539176
hawkins cookers ltd.,508486
hazoor multi projects ltd.,532467
hb estate developers ltd.,532334
hb leasing & finance co ltd.,508956
hb portfolio ltd.,532333
hb stockholdings ltd.,532216
hbl engineering ltd.,517271
hckk ventures ltd.,539224
hcl infosystems ltd.,500179
hcl technologies ltd.,532281
hcp plastene bulkpack ltd.,526717
hdb financial services ltd.,544429
hdfc asset management company ltd.,541729
hdfc bank ltd.,500180
hdfc life insurance company ltd.,540777
heads up ventures ltd.,540210
healthcare global enterprises ltd.,539787
healthy investments ltd.,503689
healthy life agritec ltd.,543546
heera ispat ltd.,526967
heg ltd.,509631
heidelberg cement india ltd.,500292
helpage finlease ltd.,539174
hem holdings & trading ltd.,505520
hemadri cements ltd.,502133
hemang resources ltd.,531178
hemant surgical industries ltd.,543916
hemisphere properties india ltd.,543242
hemo organic ltd.,524590
heranba industries ltd.,543266
hercules hoists ltd.,505720
heritage foods ltd.,519552
hero motocorp ltd.,500182
hester biosciences ltd.,524669
heubach colorants india ltd.,506390
hexa tradex ltd.,534328
hexaware technologies ltd.,544362
hfcl ltd.,500183
hg infra engineering ltd.,541019
hi-klass trading & investment ltd.,542332
hi-tech pipes ltd.,543411
high energy batteries (india) ltd.,504176
high street filatex ltd.,531301
highway infrastructure ltd.,544477
hikal ltd.,524735
hiliks technologies ltd.,539697
hilltone software & gases ltd.,544308
hilton metal forging ltd.,532847
him teknoforge ltd.,505712
himadri speciality chemical ltd.,500184
himalaya food international ltd.,526899
himatsingka seide ltd.,514043
hind aluminium industries ltd.,531979
hind commerce ltd.,538652
hind rectifiers ltd.,504036
hindalco industries ltd.,500440
hindoostan mills ltd.,509895
hindprakash industries ltd.,543645
hinduja global solutions ltd.,532859
hindustan adhesives ltd.,514428
hindustan aeronautics ltd.,541154
hindustan agrigenetics ltd.,519574
hindustan appliances ltd.,531918
hindustan bio sciences ltd.,532041
hindustan composites ltd.,509635
hindustan construction company ltd.,500185
hindustan copper ltd.,513599
hindustan flurocarbons ltd.,524013
hindustan foods ltd.,519126
hindustan hardy ltd.,505893
hindustan housing company ltd.,509650
hindustan media ventures ltd.,533217
hindustan motors ltd.,500500
hindustan oil exploration company ltd.,500186
hindustan organic chemicals ltd.,500449
hindustan petroleum corporation ltd.,500104
hindustan tin works ltd.,530315
hindustan unilever ltd.,500696
hindustan wires ltd.,504713
hindustan zinc ltd.,500188
hindusthan national glass & industries ltd.,515145
hindusthan udyog ltd.,513039
hindusthan urban infrastructure ltd.,539984
hindware home innovation ltd.,542905
hipolin ltd.,530853
hira automobiles ltd.,531743
hisar metal industries ltd.,590018
hisar spinning mills ltd.,521068
hit kit global solutions ltd.,532359
hitachi energy india ltd.,543187
hitech corporation ltd.,526217
hittco tools ltd.,531661
hle glascoat ltd.,522215
hlv ltd.,500193
hma agro industries ltd.,543929
hmt ltd.,500191
home first finance company india ltd.,543259
honasa consumer ltd.,544014
honda india power products ltd.,522064
honeywell automation india ltd.,517174
housing and urban development corporation ltd.,540530
housing development & infrastructure ltd.,532873
howard hotels ltd.,526761
hp adhesives ltd.,543433
hpc biosciences ltd.,535217
hpl electric & power ltd.,540136
hrb floriculture ltd.,531724
ht media ltd.,532662
hubtown ltd.,532799
huhtamaki india ltd.,509820
humming bird education ltd.,542592
hybrid financial services ltd.,500262
hypersoft technologies ltd.,539724
hyundai motor india ltd.,544274
i g petrochemicals ltd.,500199
i p rings ltd.,523638
i power solutions india ltd.,512405
ib infotech enterprises ltd.,519463
icds ltd.,511194
icici bank ltd.,532174
icici lombard general insurance company ltd.,540716
icici premium mutual fund scheme,511443
icici prudential life insurance company ltd.,540133
icici securities ltd.,541179
icl organic dairy products ltd.,542935
icodex publishing solutions ltd.,544483
icon facilitators ltd.,544426
iconik sports and events ltd.,511260
icra ltd.,532835
icsa-india ltd.,531524
idbi bank ltd.,500116
ideaforge technology ltd.,543932
identixweb ltd.,544388
idfc first bank ltd.,539437
idream film infrastructure company ltd.,504375
iec education ltd.,531840
iel ltd.,524614
ifb agro industries ltd.,507438
ifb industries ltd.,505726
ifci ltd.,500106
ifgl refractories ltd.,540774
ifl enterprises ltd.,540377
ifl promoters ltd.,511682
igarashi motors india ltd.,517380
igc industries ltd.,539449
iifl capital services ltd.,542773
iifl finance ltd.,532636
iirm holdings india ltd.,526530
iitl projects ltd.,531968
ikf technologies ltd.,532414
ikio technologies ltd.,543923
il&fs engineering & construction company ltd.,532907
il&fs investment managers ltd.,511208
il&fs transportation networks ltd.,533177
imagicaaworld entertainment ltd.,539056
imec services ltd.,513295
imp powers ltd.,517571
impex ferro tech ltd.,532614
inani marbles & industries ltd.,531129
inani securities ltd.,531672
incap ltd.,517370
incon engineers ltd.,531594
incredible industries ltd.,538365
ind bank housing ltd.,523465
ind renewable energy ltd.,536709
ind-agiv commerce ltd.,517077
ind-swift ltd.,524652
indag rubber ltd.,509162
indbank merchant banking services ltd.,511473
indef manufacturing ltd.,544364
indegene ltd.,544172
indergiri finance ltd.,531505
india cements capital ltd.,511355
